dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
Industry,Qwen,Model-Internal vs No Refinement,F1,1500,0.4574,0.0149,0.3233,0.0011,0.1341,1.6374e-64,4.9122e-64,True,0.6057,small
Industry,Qwen,Element Alignment vs No Refinement,Precision,1500,0.4275,0.0207,0.2883,0.0031,0.1392,1.16563e-57,2.09814e-57,True,0.6226,small
Industry,Qwen,Element Alignment vs No Refinement,Recall,1500,0.6575,0.0293,0.4568,0.0027,0.2007,1.53083e-33,1.837e-33,True,0.5602,small
Industry,Qwen,Element Alignment vs No Refinement,F1,1500,0.4752,0.0218,0.3233,0.0011,0.1519,3.06261e-47,4.59391e-47,True,0.6127,small
Industry,Qwen,Direct LLM vs No Refinement,Precision,1500,0.4109,0.0133,0.2883,0.0031,0.1226,1.77635e-33,1.9984e-33,True,0.5993,small
Industry,Qwen,Direct LLM vs No Refinement,Recall,1500,0.5755,0.0118,0.4568,0.0027,0.1187,1.75034e-08,1.75034e-08,True,0.5092,negligible
Industry,Qwen,Direct LLM vs No Refinement,F1,1500,0.4412,0.0091,0.3233,0.0011,0.1178,1.69518e-21,1.7949e-21,True,0.5808,small
Industry,Qwen,IntentTrace vs Model-Internal,Precision,1500,0.5485,0.0104,0.4035,0.0131,0.1450,7.09099e-66,4.2546e-65,True,0.6204,small
Industry,Qwen,IntentTrace vs Model-Internal,Recall,1500,0.8120,0.0119,0.6653,0.0215,0.1467,3.61564e-44,5.00627e-44,True,0.6444,medium
Industry,Qwen,IntentTrace vs Model-Internal,F1,1500,0.6058,0.0093,0.4574,0.0149,0.1484,2.80319e-67,2.52287e-66,True,0.6222,small
Industry,Qwen,IntentTrace vs Element Alignment,Precision,1500,0.5485,0.0104,0.4275,0.0207,0.1210,3.43179e-48,5.61566e-48,True,0.6008,small
Industry,Qwen,IntentTrace vs Element Alignment,Recall,1500,0.8120,0.0119,0.6575,0.0293,0.1545,1.13633e-60,2.55675e-60,True,0.6873,medium
Industry,Qwen,IntentTrace vs Element Alignment,F1,1500,0.6058,0.0093,0.4752,0.0218,0.1306,1.09554e-57,2.09814e-57,True,0.6108,small
Industry,Qwen,IntentTrace vs Direct LLM,Precision,1500,0.5485,0.0104,0.4109,0.0133,0.1376,2.48449e-43,3.19435e-43,True,0.6192,small
Industry,Qwen,IntentTrace vs Direct LLM,Recall,1500,0.8120,0.0119,0.5755,0.0118,0.2365,1.82355e-95,3.28239e-94,True,0.7529,large
Industry,Qwen,IntentTrace vs Direct LLM,F1,1500,0.6058,0.0093,0.4412,0.0091,0.1647,3.23027e-63,8.3064e-63,True,0.6435,medium
PAGED,Gemini,Model-Internal vs No Refinement,Precision,400,0.7182,,0.4128,0.0028,0.3054,1.28323e-31,2.56933e-31,True,0.6735,medium
PAGED,Gemini,Model-Internal vs No Refinement,Recall,400,0.8313,,0.4668,0.0027,0.3645,1.15975e-31,2.56933e-31,True,0.6617,medium
PAGED,Gemini,Model-Internal vs No Refinement,F1,400,0.7386,,0.4270,0.0024,0.3115,1.28467e-31,2.56933e-31,True,0.6632,medium
PAGED,Gemini,Element Alignment vs No Refinement,Precision,400,0.7466,,0.4128,0.0028,0.3338,3.60979e-38,3.24881e-37,True,0.6942,medium
PAGED,Gemini,Element Alignment vs No Refinement,Recall,400,0.8539,,0.4668,0.0027,0.3870,2.02438e-36,9.10971e-36,True,0.6680,medium
PAGED,Gemini,Element Alignment vs No Refinement,F1,400,0.7665,,0.4270,0.0024,0.3395,1.32977e-38,2.39359e-37,True,0.6839,medium
PAGED,Gemini,Direct LLM vs No Refinement,Precision,400,0.7777,,0.4128,0.0028,0.3649,4.29424e-37,2.57654e-36,True,0.7089,medium
PAGED,Gemini,Direct LLM vs No Refinement,Recall,400,0.8157,,0.4668,0.0027,0.3489,6.02792e-32,1.80838e-31,True,0.6390,small
PAGED,Gemini,Direct LLM vs No Refinement,F1,400,0.7683,,0.4270,0.0024,0.3412,3.3212e-35,1.19563e-34,True,0.6816,medium
PAGED,Gemini,IntentTrace vs Model-Internal,Precision,400,0.8561,,0.7182,,0.1379,8.60535e-20,1.54896e-19,True,0.6732,medium
PAGED,Gemini,IntentTrace vs Model-Internal,Recall,400,0.8474,,0.8313,,0.0161,0.163282,0.172886,False,0.5386,negligible
PAGED,Gemini,IntentTrace vs Model-Internal,F1,400,0.8308,,0.7386,,0.0922,7.90259e-14,1.18539e-13,True,0.6307,small
PAGED,Gemini,IntentTrace vs Element Alignment,Precision,400,0.8561,,0.7466,,0.1095,3.06519e-16,5.01576e-16,True,0.6450,medium
PAGED,Gemini,IntentTrace vs Element Alignment,Recall,400,0.8474,,0.8539,,-0.0064,0.707132,0.707132,False,0.5336,negligible
PAGED,Gemini,IntentTrace vs Element Alignment,F1,400,0.8308,,0.7665,,0.0643,4.13279e-09,4.95935e-09,True,0.6033,small
PAGED,Gemini,IntentTrace vs Direct LLM,Precision,400,0.8561,,0.7777,,0.0784,6.02159e-10,8.33758e-10,True,0.6131,small
PAGED,Gemini,IntentTrace vs Direct LLM,Recall,400,0.8474,,0.8157,,0.0317,0.000166785,0.000187633,True,0.5858,small
PAGED,Gemini,IntentTrace vs Direct LLM,F1,400,0.8308,,0.7683,,0.0625,6.62876e-10,8.52269e-10,True,0.6026,small
PAGED,Qwen,Model-Internal vs No Refinement,Precision,2000,0.6133,0.0087,0.3849,0.0022,0.2285,2.44348e-121,9.00689e-121,True,0.6481,medium
PAGED,Qwen,Model-Internal vs No Refinement,Recall,2000,0.7889,0.0112,0.4715,0.0028,0.3174,8.8043e-123,5.28258e-122,True,0.6429,medium
PAGED,Qwen,Model-Internal vs No Refinement,F1,2000,0.6564,0.0082,0.4097,0.0019,0.2466,2.50191e-121,9.00689e-121,True,0.6401,medium
PAGED,Qwen,Element Alignment vs No Refinement,Precision,2000,0.6350,0.0041,0.3849,0.0022,0.2501,8.64645e-139,1.55636e-137,True,0.6603,medium
PAGED,Qwen,Element Alignment vs No Refinement,Recall,2000,0.7685,0.0108,0.4715,0.0028,0.2970,1.18304e-105,2.66184e-105,True,0.6304,small
PAGED,Qwen,Element Alignment vs No Refinement,F1,2000,0.6659,0.0065,0.4097,0.0019,0.2562,3.4945e-137,3.14505e-136,True,0.6515,medium
PAGED,Qwen,Direct LLM vs No Refinement,Precision,2000,0.6416,0.0072,0.3849,0.0022,0.2568,5.03036e-121,1.50911e-120,True,0.6606,medium
PAGED,Qwen,Direct LLM vs No Refinement,Recall,2000,0.7127,0.0107,0.4715,0.0028,0.2412,2.78209e-73,5.56419e-73,True,0.6030,small
PAGED,Qwen,Direct LLM vs No Refinement,F1,2000,0.6537,0.0080,0.4097,0.0019,0.2440,3.05097e-109,7.84536e-109,True,0.6436,medium
PAGED,Qwen,IntentTrace vs Model-Internal,Precision,2000,0.7206,0.0105,0.6133,0.0087,0.1073,5.98513e-48,1.07732e-47,True,0.6078,small
PAGED,Qwen,IntentTrace vs Model-Internal,Recall,2000,0.8086,0.0063,0.7889,0.0112,0.0198,0.000131188,0.000131188,True,0.5350,negligible
PAGED,Qwen,IntentTrace vs Model-Internal,F1,2000,0.7353,0.0062,0.6564,0.0082,0.0789,5.16272e-41,8.44809e-41,True,0.5940,small
PAGED,Qwen,IntentTrace vs Element Alignment,Precision,2000,0.7206,0.0105,0.6350,0.0041,0.0856,1.8582e-32,2.7873e-32,True,0.5751,small
PAGED,Qwen,IntentTrace vs Element Alignment,Recall,2000,0.8086,0.0063,0.7685,0.0108,0.0401,8.53838e-10,9.04064e-10,True,0.5495,negligible
PAGED,Qwen,IntentTrace vs Element Alignment,F1,2000,0.7353,0.0062,0.6659,0.0065,0.0694,1.01144e-29,1.40046e-29,True,0.5646,small
PAGED,Qwen,IntentTrace vs Direct LLM,Precision,2000,0.7206,0.0105,0.6416,0.0072,0.0789,4.41092e-19,4.96229e-19,True,0.5500,negligible
PAGED,Qwen,IntentTrace vs Direct LLM,Recall,2000,0.8086,0.0063,0.7127,0.0107,0.0960,6.75802e-29,8.68888e-29,True,0.5794,small
PAGED,Qwen,IntentTrace vs Direct LLM,F1,2000,0.7353,0.0062,0.6537,0.0080,0.0816,2.53239e-26,3.03887e-26,True,0.5562,negligible
