init(i1)
action(n1, "Start the SSP process")
defines(v43, "Invoice completeness confirmed?", {})
defines(v44, "Invoice completeness confirmed?", {})
defines(v45, "Invoice completeness confirmed?", {})
defines(v46, "Invoice completeness confirmed?", {})
defines(v47, "Invoice completeness confirmed?", {})
defines(v48, "Invoice completeness confirmed?", {})
defines(v49, "Invoice completeness confirmed?", {})
defines(v50, "Invoice completeness confirmed?", {})
defines(v51, "Invoice completeness confirmed?", {})
defines(v52, "Invoice completeness confirmed?", {})
defines(v53, "Invoice completeness confirmed?", {})
defines(v54, "Invoice completeness confirmed?", {})
defines(v55, "Invoice completeness confirmed?", {})
defines(v56, "Invoice completeness confirmed?", {})
actor(a_default, "Default", [i1, n1, n2, b1, n3, n4, n5, n6, b2, n7, b3, n8, n9, n10, b4, n11, n12, n13, n14, b5, n15, n16, e1, n17, b6, n18, e2, n19, e3, n20, b7, n21, n22, n23, n24, b8, n25, n26, e4, n27, n28, n29, b9, n30, n31, n32, n33, b10, n34, n35, e5, n36, b11, n37, e6, n38, b12, n39, n40, n41, n42, b13, n43, e7, n44, b14, n45, b15, n46, n47, n48, b16, n49, n50, e8, n51, b17, n52, n53, n54, b18, n55, n56, e9, n57, b19, n58, e10, n59, b20, n60, b21, n61, b22, n62, b23, n63, b24, n64, b25, n65, b26, n66, b27, n67, b28, n68, b29, n69, b30, n70, b31, n71, b32, n72, b33, n73, b34, n74, b35, n75, b36, n76, b37, n77, b38, n78, b39, n79, b40, n80, b41, n81, b42, n82, b43, n83, b44, n84, b45, n85, b46, n86, b47, n87, b48, n88, b49, n89, b50, n90, b51, n91, b52, n92, b53, n93, b54, n94, b55, n95, b56, b57, b58])

precedence(i1, n1)
precedence(n2, b1)
precedence(n6, b2)
precedence(n7, b3)
precedence(n10, b4)
precedence(n14, b5)
precedence(n16, e1)
precedence(n17, b6)
precedence(n18, e2)
precedence(n19, e3)
precedence(n20, b7)
precedence(n24, b8)
precedence(n26, e4)
precedence(n29, b9)
precedence(n33, b10)
precedence(n35, e5)
precedence(n36, b11)
precedence(n37, e6)
precedence(n38, b12)
precedence(n42, b13)
precedence(n43, e7)
precedence(n44, b14)
precedence(n45, b15)
precedence(n48, b16)
precedence(n50, e8)
precedence(n51, b17)
precedence(n54, b18)
precedence(n56, e9)
precedence(n57, b19)
precedence(n58, e10)
precedence(n59, b20)
precedence(n60, b21)
precedence(n61, b22)
precedence(n62, b23)
precedence(n63, b24)
precedence(n64, b25)
precedence(n65, b26)
precedence(n66, b27)
precedence(n67, b28)
precedence(n68, b29)
precedence(n69, b30)
precedence(n70, b31)
precedence(n71, b32)
precedence(n72, b33)
precedence(n73, b34)
precedence(n74, b35)
precedence(n75, b36)
precedence(n76, b37)
precedence(n77, b38)
precedence(n78, b39)
precedence(n79, b40)
precedence(n80, b41)
precedence(n81, b42)
precedence(n82, b43)
precedence(n83, b44)
precedence(n84, b45)
precedence(n85, b46)
precedence(n86, b47)
precedence(n87, b48)
precedence(n88, b49)
precedence(n89, b50)
precedence(n90, b51)
precedence(n91, b52)
precedence(n92, b53)
precedence(n93, b54)
precedence(n94, b55)
precedence(n95, b56)
precedence(n3, b57)
precedence(n39, b58)
precedence(n1, n2)
precedence(b1, n3)
precedence(b57, n4)
precedence(n4, n5)
precedence(b57, n6)
precedence(b57, n7)
precedence(n5, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(b4, n11)
precedence(b4, n12)
precedence(n12, n13)
precedence(n13, n14)
precedence(b5, n15)
precedence(b5, n16)
precedence(b1, n17)
precedence(b6, n18)
precedence(b2, n19)
precedence(n11, n20)
precedence(b7, n21)
precedence(b7, n22)
precedence(n22, n23)
precedence(n23, n24)
precedence(b8, n25)
precedence(b8, n26)
precedence(b3, n27)
precedence(n27, n28)
precedence(n28, n29)
precedence(b9, n30)
precedence(b9, n31)
precedence(n31, n32)
precedence(n32, n33)
precedence(b10, n34)
precedence(b10, n35)
precedence(b3, n36)
precedence(b11, n37)
precedence(b6, n38)
precedence(b12, n39)
precedence(b58, n40)
precedence(n40, n41)
precedence(b58, n42)
precedence(b58, n43)
precedence(b13, n44)
precedence(n30, n45)
precedence(b15, n46)
precedence(n46, n47)
precedence(n47, n48)
precedence(b16, n49)
precedence(b16, n50)
precedence(b9, n51)
precedence(b17, n52)
precedence(n52, n53)
precedence(n53, n54)
precedence(b18, n55)
precedence(b18, n56)
precedence(b13, n57)
precedence(b19, n58)
precedence(b3, n59)
precedence(b2, n60)
precedence(b11, n61)
precedence(b13, n62)
precedence(b19, n63)
precedence(b11, n64)
precedence(b2, n65)
precedence(b13, n66)
precedence(b19, n67)
precedence(b11, n68)
precedence(b2, n69)
precedence(b13, n70)
precedence(b19, n71)
precedence(b11, n72)
precedence(b2, n73)
precedence(b13, n74)
precedence(b19, n75)
precedence(b11, n76)
precedence(b2, n77)
precedence(b13, n78)
precedence(b19, n79)
precedence(b11, n80)
precedence(b2, n81)
precedence(b13, n82)
precedence(b19, n83)
precedence(b11, n84)
precedence(b2, n85)
precedence(b13, n86)
precedence(b19, n87)
precedence(b11, n88)
precedence(b2, n89)
precedence(b13, n90)
precedence(b19, n91)
precedence(b11, n92)
precedence(b2, n93)
precedence(b13, n94)
precedence(b19, n95)
