init(i1)
action(n1, "start course registration process")
action(n115, "sign up for exam again again again after further manual retry")
action(n116, "go to attend exam after further manual retry again again again")
action(n117, "attend exam after further manual retry again again again")
action(n118, "evaluate exam after further manual retry again again again")
action(n119, "did pass exam after further manual retry again again again")
branch(b22, XOR)
action(n120, "course considered passed continue process after further manual retry again again again")
action(n121, "sign up for exam again again again again after further manual retry")
action(n122, "go to attend exam after further manual retry again again again again")
action(n123, "attend exam after further manual retry again again again again")
action(n124, "evaluate exam after further manual retry again again again again")
action(n125, "did pass exam after further manual retry again again again again")
branch(b23, XOR)
action(n126, "course considered passed continue process after further manual retry again again again again")
action(n127, "sign up for exam again again again again again after further manual retry")
action(n128, "end process completed after passing exam")
end(e3)
converge(c1)
converge(c2)
converge(c3)
branch(b24, AND)
defines(v1, "is an exception needed", {})
defines(v2, "is exception approved", {})
defines(v3, "was it the last homework", {})
defines(v4, "did pass exam", {})
defines(v5, "did pass exam after re signing", {})
defines(v6, "did pass exam again after re signing", {})
defines(v7, "did pass exam again again after re signing", {})
defines(v8, "did pass exam again again again after re signing", {})
defines(v9, "did pass exam again again again again after re signing", {})
defines(v10, "loop exam retry", {})
defines(v11, "terminate exam retries manually", {})
defines(v12, "did pass exam after manual retry", {})
defines(v13, "did pass exam after manual retry again", {})
defines(v14, "did pass exam after manual retry again again", {})
defines(v15, "did pass exam after manual retry again again again", {})
defines(v16, "did pass exam after manual retry again again again again", {})
defines(v17, "loop exam retry further", {})
defines(v18, "terminate exam retries further", {})
defines(v19, "did pass exam after further manual retry", {})
defines(v20, "did pass exam after further manual retry again", {})
defines(v21, "did pass exam after further manual retry again again", {})
defines(v22, "did pass exam after further manual retry again again again", {})
defines(v23, "did pass exam after further manual retry again again again again", {})
actor(a_default, "Default", [i1, n1, n2, b1, n3, n4, n5, b2, n6, n7, n8, n9, n10, n11, b3, n12, n13, n14, n15, n16, n17, n18, n19, n20, b4, n21, n22, n23, n24, n25, n26, b5, n27, n28, n29, n30, n31, n32, b6, n33, n34, n35, n36, n37, n38, b7, n39, n40, n41, n42, n43, n44, b8, n45, n46, n47, n48, n49, n50, b9, n51, n52, n53, b10, n54, n55, n56, b11, n57, n58, e1, n59, n60, n61, n62, n63, n64, b12, n65, n66, n67, n68, n69, n70, b13, n71, n72, n73, n74, n75, n76, b14, n77, n78, n79, n80, n81, n82, b15, n83, n84, n85, n86, n87, n88, b16, n89, n90, n91, b17, n92, n93, b18, n94, n95, e2, n96, n97, n98, n99, n100, n101, b19, n102, n103, n104, n105, n106, n107, b20, n108, n109, n110, n111, n112, n113, b21, n114, n115, n116, n117, n118, n119, b22, n120, n121, n122, n123, n124, n125, b23, n126, n127, n128, e3, c1, c2, c3, b24])

precedence(i1, n1)
precedence(n2, b1)
precedence(n5, b2)
precedence(n11, b3)
precedence(n20, b4)
precedence(n26, b5)
precedence(n32, b6)
precedence(n38, b7)
precedence(n44, b8)
precedence(n50, b9)
precedence(n53, b10)
precedence(n56, b11)
precedence(n58, e1)
precedence(n64, b12)
precedence(n70, b13)
precedence(n76, b14)
precedence(n82, b15)
precedence(n88, b16)
precedence(n91, b17)
precedence(n93, b18)
precedence(n95, e2)
precedence(n101, b19)
precedence(n107, b20)
precedence(n113, b21)
precedence(n119, b22)
precedence(n125, b23)
precedence(n128, e3)
precedence(c1, n6)
precedence(c2, n16)
precedence(c3, n128)
precedence(n13, b24)
precedence(n1, n2)
precedence(b1, n3)
precedence(b1, n4)
precedence(n3, n5)
precedence(n4, c1)
precedence(b2, c1)
precedence(n6, n7)
precedence(n7, n8)
precedence(n8, n9)
precedence(n9, n10)
precedence(n10, n11)
precedence(b3, n12)
precedence(b3, n13)
precedence(b24, n14)
precedence(b24, n15)
precedence(n14, c2)
precedence(n15, c2)
precedence(n16, n17)
precedence(n17, n18)
precedence(n18, n19)
precedence(n19, n20)
precedence(b4, n21)
precedence(b4, n22)
precedence(n22, n23)
precedence(n23, n24)
precedence(n24, n25)
precedence(n25, n26)
precedence(b5, n27)
precedence(b5, n28)
precedence(n28, n29)
precedence(n29, n30)
precedence(n30, n31)
precedence(n31, n32)
precedence(b6, n33)
precedence(b6, n34)
precedence(n34, n35)
precedence(n35, n36)
precedence(n36, n37)
precedence(n37, n38)
precedence(b7, n39)
precedence(b7, n40)
precedence(n40, n41)
precedence(n41, n42)
precedence(n42, n43)
precedence(n43, n44)
precedence(b8, n45)
precedence(b8, n46)
precedence(n46, n47)
precedence(n47, n48)
precedence(n48, n49)
precedence(n49, n50)
precedence(b9, n51)
precedence(b9, n52)
precedence(n52, n53)
precedence(b10, n54)
precedence(n54, n55)
precedence(b10, n56)
precedence(b11, n57)
precedence(n57, n58)
precedence(b11, n59)
precedence(n59, n60)
precedence(n60, n61)
precedence(n61, n62)
precedence(n62, n63)
precedence(n63, n64)
precedence(b12, n65)
precedence(b12, n66)
precedence(n66, n67)
precedence(n67, n68)
precedence(n68, n69)
precedence(n69, n70)
precedence(b13, n71)
precedence(b13, n72)
precedence(n72, n73)
precedence(n73, n74)
precedence(n74, n75)
precedence(n75, n76)
precedence(b14, n77)
precedence(b14, n78)
precedence(n78, n79)
precedence(n79, n80)
precedence(n80, n81)
precedence(n81, n82)
precedence(b15, n83)
precedence(b15, n84)
precedence(n84, n85)
precedence(n85, n86)
precedence(n86, n87)
precedence(n87, n88)
precedence(b16, n89)
precedence(b16, n90)
precedence(n90, n91)
precedence(b17, n92)
precedence(b17, n93)
precedence(b18, n94)
precedence(n94, n95)
precedence(b18, n96)
precedence(n96, n97)
precedence(n97, n98)
precedence(n98, n99)
precedence(n99, n100)
precedence(n100, n101)
precedence(b19, n102)
precedence(b19, n103)
precedence(n103, n104)
precedence(n104, n105)
precedence(n105, n106)
precedence(n106, n107)
precedence(b20, n108)
precedence(b20, n109)
precedence(n109, n110)
precedence(n110, n111)
precedence(n111, n112)
precedence(n112, n113)
precedence(b21, n114)
precedence(b21, n115)
precedence(n115, n116)
precedence(n116, n117)
precedence(n117, n118)
precedence(n118, n119)
precedence(b22, n120)
precedence(b22, n121)
precedence(n121, n122)
precedence(n122, n123)
precedence(n123, n124)
precedence(n124, n125)
precedence(b23, n126)
precedence(b23, n127)
precedence(n21, c3)
precedence(n27, c3)
precedence(n33, c3)
precedence(n39, c3)
precedence(n45, c3)
precedence(n51, c3)
precedence(n65, c3)
precedence(n71, c3)
precedence(n77, c3)
precedence(n83, c3)
precedence(n89, c3)
precedence(n102, c3)
precedence(n108, c3)
precedence(n114, c3)
precedence(n120, c3)
precedence(n126, c3)
